Name,Description,Description2,ADDRESS,LAT,LONG,Description3,Description4,Description5,Description6,PIC_URL,THUMB_URL
Luv U Daddy Plate,Renata Gray,City Hall Third Floor,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Hand Painted Ceramics,9.5 x 8.5 x 1',2004,https://www.ci.richmond.ca.us/PhotoGallery/4//020_Renata-Gray_Luv-U-Daddy-plate.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//020_Renata-Gray_Luv-U-Daddy-plate.jpg
Best Friends Platter,Renata Gray,City Hall Third Floor,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Hand Painted Ceramics,"7.75 x 7.75 x 1""",2004,https://www.ci.richmond.ca.us/PhotoGallery/4//019_Renata-Gray_.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//019_Renata-Gray_.jpg
Large Triggerfish Fan,Gerald and Kelly Hong,City Hall Third Floor,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Photo,"Raku and Glazed Ceramic, Tiles on Wood","29 x 48 x 1.25""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//023_GeraldandKelly-Hong_Anthony-Holdsworth_004-Hong-Large-Triggerfish-Fan.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//023_GeraldandKelly-Hong_Anthony-Holdsworth_004-Hong-Large-Triggerfish-Fan.jpg
I Am Sunshine,Opal Palmer Adisa,City Hall Third Floor,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Photo,Color Photograph,"15 x 10""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//046_OpalPalmerAdisa_IAMSUNSHINE-ADISA-JAMAICA08.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//046_OpalPalmerAdisa_IAMSUNSHINE-ADISA-JAMAICA08.jpg
Kick Ball,Nita Winter,Mayor's Office,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,Photo,Hand-Colored Photograph,"16 x 22.25""",1995/2008,https://www.ci.richmond.ca.us/PhotoGallery/4//043_RCC-Winter-3-CSB-1.6.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//043_RCC-Winter-3-CSB-1.6.jpg
Girls on Steps,Nita Winter,Mayor's Office,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Hand-Colored Photograph,"16 x 24""",1997/2009,https://www.ci.richmond.ca.us/PhotoGallery/4//girlsonsteps.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//girlsonsteps.jpg
Boys on Steps,Nita Winter,Mayor's Office,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Hand-Colored Photograph,"16 x 24""",1995/2009,https://www.ci.richmond.ca.us/PhotoGallery/4//boys_onsteps.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//boys_onsteps.jpg
Connections Series Marquette: Community,Marion Coleman,Mayor's Office,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Digital Photo Transfer Process and Machine Stitching,"48 x 42""",2008,,
Cargo Ship #147,Linda Altman-Grebmeier,City Hall Basement,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Oil on Canvas,"40 x 60 x 2""",2001,https://www.ci.richmond.ca.us/PhotoGallery/4//021_Linda-Grebmeier_cs_147.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//021_Linda-Grebmeier_cs_147.jpg
Empress Ann and Her Court,Susan Taber Avila,City Hall Basement,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,"Digital Print on Cotton Broadcloth, Beads, Sequins Machine, and Hand Stitching","46 x 58 x 0.5""",,https://www.ci.richmond.ca.us/PhotoGallery/4//011_RCC-Avilaa.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//011_RCC-Avilaa.jpg
French Baker,Walter S. Krane,City Hall Basement,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Oil on Canvas,"36 x 36 x 0.75""",2005,https://www.ci.richmond.ca.us/PhotoGallery/4//028_WalterKrane_002.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//028_WalterKrane_002.jpg
Horseneck Clams,Xavier Viramontes,City Hall Basement,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Multiple Color Etching,"18 x 24""",2006,https://www.ci.richmond.ca.us/PhotoGallery/4//036_Xavier-Viamontes_horse-neck-clams.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//036_Xavier-Viamontes_horse-neck-clams.jpg
Miller Knox - Shoreline Pond,Keith Silva,City Hall Basement,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Digital Photograph,"16 x 24""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//035_Keith-Silva_Shoreline-4-(Pond.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//035_Keith-Silva_Shoreline-4-(Pond.jpg
Richmond Shorelines with Pilings,Keith Silva,City Hall Basement,"450 Civic Center Plaza, Richmond, CA,  94804",37.93756201,-122.3433073,,Digital Photograph,"16 x 24""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//034_Keith-Silva_Richmond-Shoreline-3-(Pilings.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//034_Keith-Silva_Richmond-Shoreline-3-(Pilings.jpg
Village Scenes,Yan Inlow,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Hand Embroidery and Watercolor on Paper,"30 x 36 """,2008,https://www.ci.richmond.ca.us/PhotoGallery/4//025_Yan-Inlow_CD005--village-scene.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//025_Yan-Inlow_CD005--village-scene.jpg
Good Luck,Squeak Carnwath,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,"Color Sugarlift Aquatint, Soft and Hard-Ground Color Etching","27 x 27""",2003,https://www.ci.richmond.ca.us/PhotoGallery/4//013_RCC-Carnwath-CSB-1.7.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//013_RCC-Carnwath-CSB-1.7.jpg
Japanese Greenhouse Memories,Ellen L Gailing,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Photo,"Gicleé Print, Archival Ink on Acid Free Paper","15.25 x 23""",2007,https://www.ci.richmond.ca.us/PhotoGallery/4//017_Ellen-Gailing_ELG-0002.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//017_Ellen-Gailing_ELG-0002.jpg
Blue Note,Dean Hunsaker,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Photo,Oil on Mahogany Panel,"24 x 24""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//047_Hunsaker_Opus-5-(Blue-Note).jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//047_Hunsaker_Opus-5-(Blue-Note).jpg
Pow Wow,Nita Winter,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Photo,Hand-Colored Photograph,"22.5 x 16""",1991/2008,https://www.ci.richmond.ca.us/PhotoGallery/4//042_RCC-Winter-2-CSB-1.5.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//042_RCC-Winter-2-CSB-1.5.jpg
Easter Egg Hunt,Nita Winter,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,Photo,Hand-Colored Photograph,"16 x 24""",1991/2009,https://www.ci.richmond.ca.us/PhotoGallery/4//Estr_egg_hunt.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//Estr_egg_hunt.jpg
School Mates,Nita Winter,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Hand-Colored Photograph,"16 x 24""",1994/2009,https://www.ci.richmond.ca.us/PhotoGallery/4//2_boys_glasses_6x9-INDEX.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//2_boys_glasses_6x9-INDEX.jpg
Finger Painting,Nita Winter,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Hand-Colored Photograph,"14.5 x 22""",1995/2008,https://www.ci.richmond.ca.us/PhotoGallery/4//041_RCC-Winter-1-CSB-1.4.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//041_RCC-Winter-1-CSB-1.4.jpg
The Gate,Mei-Yu Lo,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Acrylic on Canvas,"46 x 36 x 1.25""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//029_Mei-YuLo_The-Gate.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//029_Mei-YuLo_The-Gate.jpg
My Jersey's Distortion,David Galvez,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Linoleum Block Print,"16 x 12.75""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//056_David-CSB-2.3.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//056_David-CSB-2.3.jpg
Still Life with Bottles,Daisy Hernandez,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Acrylic on Canvas,14 x 11 ,2008,https://www.ci.richmond.ca.us/PhotoGallery/4//053-D.-Hernandez-Final-art.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//053-D.-Hernandez-Final-art.jpg
Untitled Still Life,Eduardo Arias,440 Civic Center Plaza First Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Acrylic on Canvas,"11 X 14""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//058_EduardoArias-CSB-2.5.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//058_EduardoArias-CSB-2.5.jpg
Motivation,Marlon King Jr.,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Ink on Paper,"6 x 6""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//057-Marlon-Final-art1.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//057-Marlon-Final-art1.jpg
Comic Book Strip - Lady and the Tramp,Sierra Holly,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Ink on Comic Book Board,17 x 11,2008,https://www.ci.richmond.ca.us/PhotoGallery/4//052Sierra-CSB-2.2.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//052Sierra-CSB-2.2.jpg
Soccer Players,Alberto Montano,440 Civic Center Plaza Second Floor,"440 Civic Center Plaza, Richmond, CA, 94804",37.93712923,-122.3428223,,Chalk Pastel on Paper,"10 x 16""",2008,https://www.ci.richmond.ca.us/PhotoGallery/4//054-Alberto-CSB-2.8.jpg,https://www.ci.richmond.ca.us/PhotoGallery/4//054-Alberto-CSB-2.8.jpg
